Quartile,Paper Title,Indexed By,Volume,Issue,Publication Date,Publication Type,Cited By
Q1,Factors influencing intention to use e-government services among citizens in Malaysia,International Journal of Information Management,29,6,2009-12-01,Journal,226
Q1,Pegylated composite nanoparticles containing upconverting phosphors and meso-tetraphenyl porphine (T,Advanced Functional Materials,21,13,2011-07-08,Journal,148
-,Nanofabricated upconversion nanoparticles for photodynamic therapy,Optics Express,17,1,2009-01-05,Journal,115
Q1,Synthesis of stable block-copolymer-protected NaYF,Chemistry of Materials,22,2,2010-01-26,Journal,97
Q1,Indigenous dadih lactic acid bacteria: Cell-surface properties and interactions with pathogens,Journal of Food Science,72,3,2007-04-01,Journal,61
-,An empirical model of technical debt and interest,Proceedings - International Conference on Software Engineering,-,-,2011-07-26,Conference Proceedin,56
Q1,Two-step B-splines regularization method for solving an ill-posed problem of impact-force reconstruc,Journal of Sound and Vibration,297,1-2,2006-10-24,Journal,50
Q1,In vitro probiotic properties of indigenous dadih lactic acid bacteria,Asian-Australasian Journal of Animal Sciences,16,5,2003-05-01,Journal,48
-,A survey into the rigor of UML use and its perceived impact on quality and productivity,ESEM 08: Proceedings of the 2008 ACM-IEEE International Symposium on Empirical Software Engineering,-,-,2008-12-01,Conference Proceedin,43
Q2,Young children s ability to recognize advertisements in web page designs,British Journal of Developmental Psychology,27,1,2009-03-01,Journal,39
Q2,Novel probiotic Enterococcus faecium IS-27526 supplementation increased total salivary sIgA level an,Anaerobe,17,6,2011-12-01,Journal,38
Q1,Poly(methyl methacrylate) films deposited via non-equilibrium atmospheric pressure plasma polymeriza,Plasma Processes and Polymers,4,6,2007-08-23,Journal,38
Q2,Level of detail in UML models and its impact on model comprehension: A controlled experiment,Information and Software Technology,51,12,2009-12-01,Journal,38
-,Mammograms Classification Using Gray-level Co-occurrence Matrix and Radial Basis Function Neural Net,Procedia Computer Science,59,-,2015-01-01,Conference Proceedin,37
-,Robust light field depth estimation for noisy scene with occlusion,Proceedings of the IEEE Computer Society Conference on Computer Vision and Pattern Recognition,2016-January,-,2016-01-01,Conference Proceedin,34
Q1,Test code quality and its relation to issue handling performance,IEEE Transactions on Software Engineering,40,11,2014-11-01,Journal,34
-,Determinants of RFID adoption in supply chain among manufacturing companies in China: A discriminant,Journal of Technology Management and Innovation,4,1,2009-01-01,Journal,34
-,A hybrid simulated annealing with Kempe Chain neighborhood for the university timetabling problem,Proceedings - 6th IEEE/ACIS International Conference on Computer and Information Science; ICIS 2007;,-,-,2007-12-01,Conference Proceedin,33
Q1,Artificial intelligence and expert systems applications in new product development - a survey,Journal of Intelligent Manufacturing,10,3,1999-01-01,Journal,33
-,Assessing user acceptance toward blog technology using the UTAUT model,International Journal of Mathematics and Computers in Simulation,6,1,2012-02-27,Journal,33
Q2,A nonequilibrium; atmospheric-pressure argon plasma torch for deposition of thin silicon dioxide fil,Chemical Vapor Deposition,13,4,2007-04-01,Journal,33
Q1,A flexible three-level logistic network design considering cost and time criteria with a multi-objec,Journal of Intelligent Manufacturing,24,2,2013-04-01,Journal,33
Q1,The antecedents and outcomes of the medical tourism supply chain,Tourism Management,46,-,2015-01-01,Journal,33
Q1,Modular learning models in forecasting natural phenomena,Neural Networks,19,2,2006-03-01,Journal,33
Q1,Pervaporation dehydration of acetone using P84 co-polyimide flat sheet membranes modified by vapor p,Journal of Membrane Science,458,-,2014-05-15,Journal,32
Q2,Block copolymer surface coverage on nanoparticles,Colloids and Surfaces A: Physicochemical and Engineering Aspects,360,1-3,2010-01-01,Journal,31
Q1,The use of targeting criteria in hospitalized HMO patients: Results from the demonstration phase of,Journal of the American Geriatrics Society,40,5,1992-01-01,Journal,31
Q1,Effect of glucose and incubation temperature on metabolically active Lactobacillus plantarum from da,Food and Chemical Toxicology,46,2,2008-02-01,Journal,30
Q1,An improved approach for hydrogen analysis in metal samples using single laser-induced gas plasma an,Applied Physics B: Lasers and Optics,82,1,2006-01-01,Journal,29
Q1,OEM new product development practices: The case of the automotive industry,Journal of Supply Chain Management,42,3,2006-08-01,Journal,29
Q2,Potential probiotic characters of Lactobacillus and Enterococcus strains isolated from traditional d,Journal of Food Protection,70,3,2007-01-01,Journal,29
Q1,Shock wave plasma induced by TEA CO,Spectrochimica acta; Part B: Atomic spectroscopy,55,10,2000-10-02,Journal,28
Q2,Process performance in product development: Measures and impacts,European Journal of Innovation Management,7,3,2004-09-01,Journal,28
-,The measurement of optimization performance of managed service division with ITIL framework using St,Journal of Networks,8,3,2013-04-08,Journal,28
Q1,Quantitative hydrogen analysis of zircaloy-4 using low-pressure laser plasma technique,Analytical Chemistry,79,7,2007-04-01,Journal,27
Q2,Preliminary analysis of C and H in a "sangiran" fossil using laser-induced plasma at reduced pressur,Journal of Applied Physics,98,9,2005-11-01,Journal,27
-,The causal relationship between GDP; exports; energy consumption; and Co,International Journal of Economic Perspectives,9,4,2015-01-01,Journal,27
Q1,Impacts of energy management practices on energy efficiency and carbon emissions reduction: A survey,Resources; Conservation and Recycling,126,-,2017-01-01,Journal,27
